"","Tm","Attendance","Attend/G","BatAge","PAge","BPF","PPF","#HOF","#A-S","#a-tA-S","Est. Payroll","Managers","yearID","Time"
"161","BOS","444,045","5,843",28.6,27.9,95,99,1,0,2,"$136,850","Wagner",1930,"0"
"162","BRO","1,097,329","14,251",28.9,31.4,100,99,2,0,2,"$260,600","Robinson",1930,"0"
"163","BSN","464,835","6,037",29.6,30.9,97,99,3,0,2,"$134,346","McKechnie",1930,"0"
"164","CHC","1,463,624","18,527",29.4,28.5,101,98,5,0,4,"$284,850","McCarthy and Hornsby",1930,"0"
"165","CHW","406,123","5,207",27.4,29.2,96,99,3,0,2,"$206,200","Bush",1930,"0"
"166","CIN","386,727","5,022",29.6,30.4,94,97,4,0,2,"$155,650","Howley",1930,"0"
"167","CLE","528,657","6,866",27.3,24.5,103,103,2,0,5,"$135,900","Peckinpaugh",1930,"0"
"168","DET","649,450","8,326",26.7,28.2,102,103,3,0,3,"$112,000","Harris",1930,"0"
"169","NYG","868,714","11,282",27.2,28.8,98,95,6,0,6,"$189,150","McGraw",1930,"0"
"170","NYY","1,169,230","15,385",27.1,27.9,96,93,9,0,7,"$393,650","Shawkey",1930,"0"
"171","PHA","721,663","9,496",28.8,30.9,105,101,5,0,7,"$218,666","Mack",1930,"0"
"172","PHI","299,007","3,883",27.1,29.1,107,110,2,0,3,"$134,350","Shotton",1930,"0"
"173","PIT","357,795","4,647",26.6,28.3,100,100,3,0,7,"$178,550","Ens",1930,"0"
"174","SLB","152,088","1,950",28.9,27.7,103,104,3,0,4,"$153,580","Killefer",1930,"0"
"175","STL","508,501","6,604",29.6,30.9,105,102,6,0,7,"$225,730","Street",1930,"0"
"176","WSH","614,474","7,980",29.2,28.2,101,99,4,0,7,"$114,593","Johnson",1930,"0"
"177","BOS","350,975","4,387",28.6,28.3,94,98,0,0,1,"$135,650","Collins",1931,"0"
"178","BRO","753,133","9,910",29.3,32.9,100,99,3,0,4,"","Robinson",1931,"0"
"179","BSN","515,005","6,603",30.3,30.2,97,99,1,0,3,"","McKechnie",1931,"0"
"180","CHC","1,086,422","14,109",29.2,30.1,102,100,5,0,8,"","Hornsby",1931,"0"
"181","CHW","403,550","5,241",28.6,29,94,97,3,0,2,"$159,700","Bush",1931,"0"
"182","CIN","263,316","3,420",29.3,29.7,93,96,3,0,3,"","Howley",1931,"0"
"183","CLE","483,027","6,356",27.2,25.2,105,105,1,0,6,"$166,550","Peckinpaugh",1931,"0"
"184","DET","434,056","5,637",27.4,28.7,103,104,3,0,4,"$133,350","Harris",1931,"0"
"185","NYG","812,163","10,412",27.9,29.7,98,95,5,0,7,"","McGraw",1931,"0"
"186","NYY","912,437","11,850",27.8,27.4,95,91,9,0,10,"$334,100","McCarthy",1931,"0"
"187","PHA","627,464","8,366",28.9,30.2,106,102,5,0,7,"$202,267","Mack",1931,"0"
"188","PHI","284,849","3,748",26.6,28.8,108,110,1,0,3,"","Shotton",1931,"0"
"189","PIT","260,392","3,338",27.6,29.2,98,99,3,0,6,"","Ens",1931,"0"
